STUDY_ID	SAMPLE_ID	KRAS	BRCA1	POLE
brca_tcga_pub	TCGA-A8-A08B-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A08X-01	-0.0812	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A092-01	0.1399	6.1131	-0.0852
brca_tcga_pub	TCGA-A8-A094-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A09G-01	-0.8369	10.7242	-0.0852
brca_tcga_pub	TCGA-A8-A0A7-01	0.1627	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A04C-01	0.1754	11.7084	-0.0852
brca_tcga_pub	TCGA-AN-A0FV-01	0.3551	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A0TX-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0B7-01	1.0029	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0HY-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A12L-01	0.475	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A12P-01	1.2041	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A12Q-01	3.0999	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A12T-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A12Z-01	-0.5693	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A130-01	-0.6492	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A135-01	1.0886	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A137-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A138-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A1HF-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-D8-A13Z-01	2.4577	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A14P-01	0.9451	-0.0961	4.2624
brca_tcga_pub	TCGA-E2-A14V-01	0.8678	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A152-01	1.4693	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A1B0-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0CU-01	1.8515	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A0TR-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A18T-01	-0.5383	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0I8-01	3.0213	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0X4-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A06U-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0EA-01	0.8789	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A18N-01	-0.2962	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A1EU-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0X7-01	-0.5458	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A04V-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A18S-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A18M-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RM-01	0.1699	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A1ET-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0IN-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A1EO-01	1.9598	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0WS-01	1.9396	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RP-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0IH-01	-0.1906	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0WY-01	-0.0588	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A1ES-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0X0-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RQ-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0IG-01	-0.8369	13.107	-0.0852
brca_tcga_pub	TCGA-BH-A0HO-01	0.7371	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0DS-01	0.7793	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0DQ-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0HK-01	0.1863	-0.0961	-0.0852
brca_tcga_pub	TCGA-A7-A0CG-01	-0.0139	-0.0961	-0.0852
brca_tcga_pub	TCGA-A7-A0CH-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A7-A0DB-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A7-A0D9-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A0J8-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0GZ-01	1.6657	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A0JA-01	-0.3094	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A0JF-01	0.2088	-0.0961	-0.0852
brca_tcga_pub	TCGA-A7-A0CD-01	1.1141	-0.0961	-0.0852
brca_tcga_pub	TCGA-D8-A145-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0HP-01	-0.4129	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0DK-01	2.1761	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0E2-01	1.0753	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0YI-01	1.0882	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0YL-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A0JG-01	0.3077	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0YF-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0DP-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0E1-01	1.1499	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0T5-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0T6-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0HI-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0T7-01	0.9639	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0BJ-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0H7-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0HF-01	1.2513	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0EB-01	1.8205	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0H6-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0YD-01	0.5706	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0HB-01	1.0934	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0HX-01	0.109	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A12H-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A10E-01	0.7264	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0D3-01	-0.287	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A10F-01	0.0963	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A03V-01	1.3396	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0EW-01	-0.4305	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0GY-01	0.4102	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0EV-01	1.0102	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0BC-01	1.0971	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0YC-01	0.0983	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0EU-01	0.713	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0ET-01	2.1065	-0.0961	-0.0852
